Observed Reentry Date (UTC),Object Name,International Designator,SSN,TLE Epoch (UTC),Aerospace Reentry Prediction (UTC),Aerospace Stated Uncertainty 20% Rule (+/- hrs),Country of Origin,Type,Sighting Location,Sighting Latitude,Sighting Longitude,Debris Recovery Location,Recovery Latitude,Recovery Longitude
N/A,STARLINK-2332,2021-021S,47876,2025-02-11T14:25:23.445984Z,2025-02-17T02:20:25.620000Z,27.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1186,2020-006BH,45099,2025-02-12T18:53:25.209312Z,2025-02-13T00:21:03.860000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2042,2021-012AQ,47658,2025-02-12T22:13:58.160640Z,2025-02-13T01:03:54.910000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1725,2020-062K,46334,2025-02-13T03:02:01.932000Z,2025-02-13T08:19:03.100000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2308,2021-024J,47985,2025-02-13T13:33:25.252704Z,2025-02-14T17:04:50.260000Z,6.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1084,2020-001B,44915,2025-02-13T16:33:45.676800Z,2025-02-15T01:47:12.570000Z,7.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1028,2019-074W,44733,2025-02-13T14:37:36.778080Z,2025-02-15T01:40:18.130000Z,8.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2000,2021-009AZ,47595,2025-02-12T18:59:07.043136Z,2025-02-15T17:00:38.810000Z,15.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1722,2020-062AN,46361,2025-02-13T01:00:37.445184Z,2025-02-15T23:44:24.840000Z,15.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1780,2020-073Q,46684,2025-02-10T15:54:08.102592Z,2025-02-17T15:42:08.910000Z,34.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2484,2021-027BB,48141,2025-02-11T10:39:12.653280Z,2025-02-17T04:37:10.040000Z,28.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3654,2022-025AZ,52003,2025-02-11T14:17:28.907808Z,2025-02-16T21:17:17.970000Z,26.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2267,2021-024BG,48031,2025-02-11T12:42:10.037376Z,2025-02-18T01:14:32.410000Z,32.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-5301,2023-010B,55270,2025-02-13T09:54:11.931840Z,2025-02-17T04:20:51.500000Z,19.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1760,2020-062S,46341,2025-02-12T01:44:28.104000Z,2025-02-12T05:28:30.610000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2197,2021-017BE,47774,2025-02-12T09:42:48.462048Z,2025-02-12T11:32:54.570000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1852,2020-088T,47139,2025-02-11T21:22:11.689248Z,2025-02-12T05:47:39.670000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2312,2021-024D,47980,2025-02-12T14:26:27.738816Z,2025-02-17T11:27:33.930000Z,24.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2305,2021-024N,47989,2025-02-12T17:59:08.930688Z,2025-02-12T21:53:59.590000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,RESURS P2,2014-087A,40360,2025-02-11T19:01:17.387904Z,2025-02-11T22:34:39.290000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,Payload,,,,,,
N/A,STARLINK-2174,2021-017AL,47756,2025-02-10T17:33:08.416224Z,2025-02-10T22:35:23.780000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1785,2020-088C,47124,2025-02-08T11:48:29.371968Z,2025-02-08T18:46:43.690000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1401,2020-035AD,45684,2025-02-07T01:42:58.775904Z,2025-02-07T05:12:05.980000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-4669,2022-107BA,53748,2025-02-06T19:19:58.922112Z,2025-02-07T04:54:43.510000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1776,2020-073N,46682,2025-02-06T17:10:28.576128Z,2025-02-07T04:13:49.450000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1061,2019-074BF,44766,2025-02-06T19:11:50.871840Z,2025-02-07T00:21:40.380000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2014,2021-012T,47637,2025-02-09T22:55:11.175744Z,2025-02-10T00:40:45.510000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2018,2021-012W,47640,2025-02-09T23:33:51.020928Z,2025-02-10T02:33:31.240000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1864,2020-088AF,47151,2025-02-10T13:30:17.729280Z,2025-02-10T17:59:28.070000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1709,2020-070AF,46561,2025-02-09T14:15:39.152160Z,2025-02-09T19:36:44.590000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1854,2020-088V,47141,2025-02-09T01:55:33.178368Z,2025-02-09T07:18:10.650000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1758,2020-062BH,46380,2025-02-09T04:42:42.050592Z,2025-02-09T09:51:14.210000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2243,2021-024AN,48013,2025-02-09T02:45:30.078144Z,2025-02-09T06:21:47.690000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1948,2020-074BM,46798,2025-02-09T02:24:37.814688Z,2025-02-09T06:06:32.700000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-31360,2024-031T,58982,2025-02-08T03:19:18.479712Z,2025-02-08T09:01:32.300000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1038,2019-074AG,44743,2025-02-07T15:27:20.797344Z,2025-02-08T01:36:36.040000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1670,2020-062AX,46370,2025-02-08T06:00:42.152832Z,2025-02-08T09:38:04.970000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CUSAT 2/FALCON 9,2013-055G,39271,2025-02-08T14:25:57.741600Z,2025-02-08T19:37:20.260000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1737,2020-070BG,46586,2025-02-08T14:00:23.052096Z,2025-02-08T17:54:20.400000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1921,2020-074P,46752,2025-02-07T00:29:40.722144Z,2025-02-07T06:23:07.140000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1236,2020-012P,45191,2025-02-06T18:23:33.089280Z,2025-02-07T03:21:03.220000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1908,2020-074J,46747,2025-02-05T19:53:43.613664Z,2025-02-06T07:14:46.680000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2223,2021-017BM,47781,2025-02-04T20:30:25.954848Z,2025-02-05T11:28:51.130000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1782,2021-009A,47548,2025-02-05T03:58:12.070272Z,2025-02-05T11:47:55.390000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-4301,2022-076M,52997,2025-02-04T21:01:52.427136Z,2025-02-05T00:01:19.870000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1594,2020-057Z,46140,2025-02-04T21:53:35.200608Z,2025-02-05T05:02:19.740000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2048,2021-027A,48092,2025-02-05T12:08:17.175840Z,2025-02-05T17:00:54.180000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1880,2020-088AV,47165,2025-02-05T15:54:25.406784Z,2025-02-05T19:57:48.230000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2304,2021-021E,47864,2025-02-05T13:28:43.601664Z,2025-02-05T18:02:13.040000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1930,2020-074BC,46789,2025-02-03T19:24:20.968128Z,2025-02-04T08:16:47.760000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1829,2020-073BJ,46726,2025-02-04T06:53:50.153856Z,2025-02-04T09:45:38.450000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-31175,2024-017H,58833,2025-02-04T08:15:22.560768Z,2025-02-04T10:24:20.890000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1910,2020-074K,46748,2025-02-03T05:19:06.277152Z,2025-02-03T17:15:17.230000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2294,2021-024AV,48020,2025-02-03T09:56:45.142368Z,2025-02-03T18:02:20.180000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1956,2021-009K,47557,2025-01-31T10:48:47.912256Z,2025-02-01T22:44:50.240000Z,8.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,DRAGON CRS-31 DEB,2024-200B,62608,2025-01-29T15:37:58.208160Z,2025-01-29T18:14:25.590000Z,1.0,UNITED STATES OF AMERICA,Debris,,,,,,
N/A,STARLINK-2365,2021-021AX,47905,2025-02-04T12:30:50.804640Z,2025-02-04T21:16:00.060000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2602,2021-038AS,48393,2025-02-03T04:27:12.352896Z,2025-02-03T11:41:51.510000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3321,2022-001A,50803,2025-02-03T09:42:39.988800Z,2025-02-03T13:43:38.650000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,OBJECT D,2022-095D,53387,2025-02-03T07:32:00.533184Z,2025-02-03T10:04:49.850000Z,1.0,PEOPLES REPUBLIC OF CHINA,Unknown,,,,,,
N/A,STARLINK-2129,2021-017F,47727,2025-02-03T13:37:12.806112Z,2025-02-03T16:56:47.390000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,OBJECT D,2023-193D,58556,2025-02-02T05:28:39.845280Z,2025-02-02T10:22:04.780000Z,1.0,PEOPLES REPUBLIC OF CHINA,Unknown,,,,,,
N/A,STARLINK-1981,2021-009AH,47579,2025-02-02T18:39:05.252832Z,2025-02-02T21:57:39.620000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1987,2021-009AM,47583,2025-02-01T22:13:54.398784Z,2025-02-02T02:04:54.280000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2182,2021-017AU,47764,2025-02-01T11:21:19.398816Z,2025-02-01T15:30:50.090000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2290,2021-024T,47994,2025-02-01T02:28:56.484192Z,2025-02-01T08:29:43.800000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2051,2021-012AT,47661,2025-01-31T23:41:33.575424Z,2025-02-01T02:15:31.540000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2054,2021-012AW,47664,2025-02-01T09:16:39.611712Z,2025-02-01T16:02:11.420000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,OBJECT A,2023-007A,55248,2025-02-01T08:20:16.531584Z,2025-02-01T12:50:20.120000Z,1.0,PEOPLES REPUBLIC OF CHINA,Unknown,,,,,,
N/A,STARLINK-2737,2021-044AP,48675,2025-01-31T16:37:22.694592Z,2025-02-01T03:49:08.170000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1929,2020-074BB,46788,2025-01-31T13:46:49.090656Z,2025-01-31T15:41:09.560000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1729,2020-070BD,46583,2025-01-31T07:28:15.379104Z,2025-01-31T08:59:43.260000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2317,2021-024F,47982,2025-01-30T23:47:30.651936Z,2025-01-31T03:15:15.320000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1611,2020-057AG,46147,2025-01-30T17:58:52.951872Z,2025-01-30T18:28:35.460000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1145,2020-006Y,45066,2025-01-28T15:57:36.389664Z,2025-01-29T05:30:01.820000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2258,2021-021A,47860,2025-01-29T21:19:23.204928Z,2025-01-30T05:16:58.460000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2279,2021-024Q,47991,2025-01-30T00:40:17.168736Z,2025-01-30T04:00:52.090000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1492,2020-038BB,45779,2025-01-27T23:03:09.561312Z,2025-01-28T04:57:42.970000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1936,2020-074AK,46772,2025-01-29T20:27:18.923040Z,2025-01-30T00:45:37.860000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1791,2020-073Y,46692,2025-01-29T03:46:27.153408Z,2025-01-29T07:34:30.810000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
2025-01-29T03:00:00Z,STARLINK-5693,2023-015AK,55482,2025-01-29T01:24:23.543712Z,2025-01-29T03:15:25.390000Z,1.0,UNITED STATES OF AMERICA,Payload,"Milwaukee and Chicago, USA",43.037,-87.969,,,
N/A,STARLINK-1887,2020-088BA,47170,2025-01-28T04:50:36.687264Z,2025-01-28T08:03:05.510000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1938,2021-009D,47551,2025-01-27T20:37:17.948064Z,2025-01-28T01:01:34.990000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2691,2021-044K,48647,2025-01-28T07:29:16.753344Z,2025-01-28T11:51:21.930000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1490,2020-038AZ,45777,2025-01-28T05:15:26.943840Z,2025-01-28T09:51:42.850000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,OBJECT K,2023-007K,55257,2025-01-24T02:32:59.601696Z,2025-01-24T09:37:12.570000Z,2.0,PEOPLES REPUBLIC OF CHINA,Unknown,,,,,,
N/A,STARLINK-2012,2021-012R,47635,2025-01-27T08:15:28.799712Z,2025-01-27T13:00:49.630000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2369,2021-021BB,47909,2025-01-27T02:27:59.544864Z,2025-01-27T07:38:55.720000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2374,2021-021BF,47913,2025-01-26T15:34:29.623872Z,2025-01-26T18:27:23.860000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2307,2021-024P,47990,2025-01-26T11:45:39.386016Z,2025-01-26T17:53:22.290000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2327,2021-021M,47871,2025-01-24T18:48:29.151072Z,2025-01-24T21:47:00.080000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2296,2021-024X,47998,2025-01-24T05:59:00.276000Z,2025-01-24T11:00:41.570000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1996,2021-009AV,47591,2025-01-26T01:46:50.429856Z,2025-01-26T05:59:11.320000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3713,2022-029D,52091,2025-01-27T03:49:03.933984Z,2025-01-27T19:44:40.860000Z,4.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1630,2020-057R,46132,2025-01-25T17:47:38.803776Z,2025-01-25T21:54:32.150000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1896,2020-074X,46760,2025-01-25T07:06:21.538368Z,2025-01-25T10:34:05.330000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2331,2021-021R,47875,2025-01-24T02:25:03.656064Z,2025-01-24T05:31:36.110000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1138,2020-012A,45178,2025-01-24T01:50:01.267584Z,2025-01-24T04:58:14.140000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1878,2020-088AT,47163,2025-01-23T05:56:28.280256Z,2025-01-23T11:14:35.440000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-6103,2023-046X,56114,2025-01-21T22:51:45.467712Z,2025-01-22T01:51:58.740000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3759,2022-041AQ,52299,2025-01-21T17:33:20.155392Z,2025-01-22T00:25:42.470000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1479,2020-038L,45740,2025-01-22T03:18:26.659584Z,2025-01-22T08:19:39.980000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,COSMOS 1378,1982-059A,13271,2025-01-23T01:16:26.478336Z,2025-01-23T06:31:51.340000Z,2.0,COMMONWEALTH OF INDEPENDENT STATES,Payload,,,,,,
N/A,STARLINK-2016,2021-012V,47639,2025-01-23T02:53:51.040896Z,2025-01-23T06:34:16.760000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2375,2021-021BG,47914,2025-01-21T18:52:18.619104Z,2025-01-21T20:34:48.630000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1998,2021-009AX,47593,2025-01-20T14:35:29.014944Z,2025-01-22T21:10:46.660000Z,11.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2064,2021-012BD,47671,2025-01-21T14:40:55.151616Z,2025-01-21T18:45:07.530000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2179,2021-017AR,47761,2025-01-20T13:23:50.329824Z,2025-01-20T16:15:18.090000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2362,2021-021AU,47902,2025-01-20T02:39:57.317184Z,2025-01-20T11:24:59.850000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-6078,2023-046P,56106,2025-01-17T15:11:26.977632Z,2025-01-17T20:41:45.010000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2037,2021-012AK,47653,2025-01-21T02:24:16.526592Z,2025-01-21T05:43:38.930000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2198,2021-017BF,47775,2025-01-20T13:02:53.559744Z,2025-01-20T17:41:22.310000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2520,2021-036F,48281,2025-01-18T18:01:47.275104Z,2025-01-19T09:19:29.430000Z,4.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2192,2021-017AZ,47769,2025-01-18T14:52:40.723392Z,2025-01-18T18:33:42.160000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2027,2021-012AB,47645,2025-01-18T02:15:23.029920Z,2025-01-18T04:38:19.520000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2067,2021-012BG,47674,2025-01-17T04:41:43.085184Z,2025-01-17T05:42:33.270000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2268,2021-024BF,48030,2025-01-17T05:14:26.779200Z,2025-01-17T10:38:28.390000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1136,2020-006AX,45089,2025-01-16T19:37:41.231712Z,2025-01-16T22:42:42.770000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2125,2021-017D,47725,2025-01-14T18:33:55.594368Z,2025-01-15T06:27:23.260000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3951,2022-051A,52533,2025-01-17T11:41:37.453056Z,2025-01-17T14:42:38.460000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,SUPERVIEW-1 01,2016-083A,41907,2025-01-15T06:07:13.823904Z,2025-01-15T09:52:30.800000Z,1.0,PEOPLES REPUBLIC OF CHINA,Payload,,,,,,
N/A,STARLINK-2339,2021-021X,47881,2025-01-14T22:32:30.813792Z,2025-01-15T02:21:21.470000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-2C R/B,2020-076E,46811,2025-01-13T23:23:19.765248Z,2025-01-14T11:50:04.300000Z,3.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,STARLINK-4765,2022-119BD,53937,2025-01-13T23:48:08.756928Z,2025-01-14T01:19:12.400000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1884,2020-088AX,47167,2025-01-14T11:02:33.150624Z,2025-01-14T15:39:34.820000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2124,2021-005BF,47402,2025-01-13T05:34:18.205824Z,2025-01-13T09:10:15.290000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1055,2019-074AZ,44760,2025-01-12T13:50:22.356960Z,2025-01-12T16:41:57.240000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3689,2022-025F,51961,2025-01-11T06:44:06.741312Z,2025-01-11T09:32:36.590000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1813,2020-073AT,46711,2025-01-13T21:13:18.121728Z,2025-01-14T00:07:45.240000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-4488,2022-101H,53534,2025-01-13T19:34:43.619232Z,2025-01-13T23:28:36.530000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2349,2021-021AF,47889,2025-01-13T20:32:01.812192Z,2025-01-13T23:06:22.870000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2028,2021-012AC,47646,2025-01-13T03:48:30.980160Z,2025-01-13T05:09:19.080000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2434,2021-018BH,47842,2025-01-12T21:55:56.264160Z,2025-01-13T00:44:54.570000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2157,2021-017X,47743,2025-01-12T02:39:32.738112Z,2025-01-12T08:21:11.790000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2617,2021-044BD,48689,2025-01-11T21:57:20.277792Z,2025-01-12T12:20:18.970000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1574,2020-055AM,46062,2025-01-10T22:08:49.862976Z,2025-01-11T03:46:40.740000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2463,2021-027AG,48122,2025-01-10T17:50:31.317792Z,2025-01-10T20:31:11.330000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2441,2021-036BM,48335,2025-01-07T16:12:26.579232Z,2025-01-07T20:20:01.750000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2689,2021-040AM,48463,2025-01-10T00:04:28.387776Z,2025-01-10T08:11:01.330000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2749,2021-040B,48429,2025-01-10T02:14:40.087392Z,2025-01-10T16:59:54.860000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-4003,2022-053AX,52701,2025-01-08T04:05:18.151872Z,2025-01-08T06:18:24.520000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2541,2021-036AP,48313,2025-01-07T23:51:50.131008Z,2025-01-08T14:49:56.990000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2573,2021-038AT,48394,2025-01-07T17:14:51.276192Z,2025-01-08T06:44:53.100000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2077,2021-005Q,47363,2025-01-09T17:53:33.679680Z,2025-01-10T10:33:40.500000Z,4.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,SJ-19 DEB,2024-177D,61506,2025-01-09T07:33:47.219904Z,2025-01-09T16:50:40.580000Z,2.0,PEOPLES REPUBLIC OF CHINA,Debris,,,,,,
